eyeball_center,iris_ellipse,mask,png_path,dicenew,check
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((318.49248361354915, 217.10412452983294), (192.82110797128485, 167.14262112141964), -36.45531487131768)",22965,./openEDS/S_0/80.png,0.98562807,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((333.6979904241308, 209.90116404657564), (192.82110797128485, 168.1633977195121), -24.79739698400712)",23219,./openEDS/S_0/77.png,0.98415007,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((325.65232536113825, 270.843996413567), (192.82110797128485, 185.9014574852922), -72.63849751907617)",20792,./openEDS/S_0/122.png,0.98015556,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((360.66483579603164, 250.77679990500297), (192.82110797128485, 188.76097628290708), -12.368239251229612)",22438,./openEDS/S_0/16.png,0.99436538,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((359.58112278323705, 250.24149796839149), (192.82110797128485, 188.57393377900652), -13.920036056658034)",21884,./openEDS/S_0/9.png,0.99448169,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((339.35470334475764, 207.23637109584507), (192.82110797128485, 167.97809885271334), -20.423660151464915)",23050,./openEDS/S_0/76.png,0.98860792,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((308.4967547632152, 243.53292364895026), (192.82110797128485, 173.9918227667555), -55.71780246034344)",21070,./openEDS/S_0/101.png,0.99063697,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((346.7427602853676, 282.0255601686967), (192.82110797128485, 191.24281045858558), -84.48932441092848)",20633,./openEDS/S_0/127.png,0.98652995,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((394.7510512753508, 214.49543417530262), (192.82110797128485, 172.5359803069272), 21.054894785400045)",25358,./openEDS/S_0/58.png,0.97005247,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((409.88774888325605, 246.01989066222112), (192.82110797128485, 181.40016950299164), 47.76921155294543)",22128,./openEDS/S_0/41.png,0.97175193,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((395.12695257013235, 215.4492200336563), (192.82110797128485, 172.96641241073104), 21.593259171912255)",25347,./openEDS/S_0/54.png,0.9680923,1
"(367.96616229502223, 284.07313251616904, 96.41055398564242)","((315.6626669323329, 260.6147953604283), (192.82110797128485, 181.1041525391329), -65.84356544296136)",21482,./openEDS/S_0/112.png,0.98484848,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((406.9577314475822, 256.2942239768024), (188.31549963970454, 180.35559100675826), 66.47679166126417)",14887,./openEDS/S_1/31.png,0.98403296,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((320.27880161351055, 290.55178196566766), (188.31549963970454, 180.55202822731886), 70.41710608341384)",11461,./openEDS/S_1/114.png,0.99764644,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((407.09719910645225, 257.71179917255495), (188.31549963970454, 180.49991102837643), 68.14729549142189)",14987,./openEDS/S_1/37.png,0.98277027,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((406.1556462931849, 256.2538315931746), (188.31549963970454, 180.60251401773795), 66.03380746442981)",14788,./openEDS/S_1/36.png,0.9817311,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((302.6382626507239, 259.1409870535836), (188.31549963970454, 173.53875695978175), -75.47952039358466)",11944,./openEDS/S_1/92.png,0.98540636,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((359.6089707986683, 305.81505357807134), (188.31549963970454, 184.8597654490124), 8.009227749900601)",11860,./openEDS/S_1/126.png,0.98717083,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((407.07767687360683, 254.92277035611562), (188.31549963970454, 180.1204440150088), 65.02023433805212)",14812,./openEDS/S_1/33.png,0.98434723,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((355.50416518046615, 258.96631071787806), (188.31549963970454, 187.1476001453992), -27.728971363897895)",13145,./openEDS/S_1/20.png,0.99435456,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((389.98204041899135, 283.0028894549376), (188.31549963970454, 185.67075914214496), -72.95359498550616)",12302,./openEDS/S_1/148.png,0.98528146,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((355.97068746065423, 259.52899032033804), (188.31549963970454, 187.23807166329456), -27.23187732256005)",14908,./openEDS/S_1/4.png,0.9907903,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((390.86054915151533, 286.7272761751098), (188.31549963970454, 185.23986218470154), -66.49248471321204)",12464,./openEDS/S_1/139.png,0.98357331,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((320.5241393597432, 291.1492464259864), (188.31549963970454, 180.5610610191348), 69.61903544998334)",11869,./openEDS/S_1/109.png,0.99638382,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((352.84629859182536, 300.8695564585137), (188.31549963970454, 185.4927023311768), 23.230263881717555)",11288,./openEDS/S_1/130.png,0.99252802,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((316.5236722043546, 280.58422854258515), (188.31549963970454, 180.06500541845446), 83.30572683895451)",12120,./openEDS/S_1/106.png,0.99373403,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((318.2729136533245, 288.1265233819968), (188.31549963970454, 180.14641002759677), 73.98558851064706)",11155,./openEDS/S_1/115.png,0.99582829,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((316.7715713481399, 235.27204376563301), (188.31549963970454, 174.3260820907676), -49.88205824623993)",15684,./openEDS/S_1/87.png,0.99291771,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((354.3086840392584, 216.2640195380195), (188.31549963970454, 175.31737309364004), -9.311453726224098)",16906,./openEDS/S_1/66.png,0.99283883,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((302.5477155158599, 260.7934528852142), (188.31549963970454, 173.687109667199), -76.95468303387297)",12027,./openEDS/S_1/95.png,0.98722125,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((389.9306249703204, 286.54558493222424), (188.31549963970454, 185.43202143330527), -66.08073878593463)",12408,./openEDS/S_1/149.png,0.98489967,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((317.0620951003923, 233.37098185949932), (188.31549963970454, 173.8381455001611), -48.38253078310258)",15585,./openEDS/S_1/83.png,0.99343811,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((357.0496379759704, 300.4250300784107), (188.31549963970454, 185.84600672043516), 15.178536241364826)",11876,./openEDS/S_1/124.png,0.98571368,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((406.11025355952125, 259.0057660178034), (188.31549963970454, 180.96956375803853), 69.20626359055294)",14997,./openEDS/S_1/39.png,0.983068,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((344.6540425134374, 297.6262135749806), (188.31549963970454, 185.16266997421968), 40.46986801650444)",11470,./openEDS/S_1/121.png,0.99456855,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((316.1808549961654, 234.26764490798158), (188.31549963970454, 173.80164033734053), -49.52847484509649)",15405,./openEDS/S_1/82.png,0.99420055,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((328.29394666142355, 227.57840241337104), (188.31549963970454, 175.4068520263565), -36.922467954161)",15507,./openEDS/S_1/75.png,0.9933359,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((305.0666322860784, 254.13713484711778), (188.31549963970454, 173.95278255971354), -70.47183368150824)",13578,./openEDS/S_1/91.png,0.98752768,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((353.62853127547487, 218.9389214670023), (188.31549963970454, 176.43030525883157), -10.420850887056083)",16826,./openEDS/S_1/63.png,0.99472436,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((356.7055673122911, 257.79868372263087), (188.31549963970454, 187.07627714030681), -22.794380589825312)",14300,./openEDS/S_1/23.png,0.99485038,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((391.78664071049377, 230.79585043573286), (188.31549963970454, 178.38563732486526), 32.196179519772066)",15143,./openEDS/S_1/51.png,0.97754267,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((358.8567392719934, 304.44106228955064), (188.31549963970454, 185.1324023913197), 9.806255758007765)",11845,./openEDS/S_1/125.png,0.99003631,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((321.79596510622355, 289.1921451155992), (188.31549963970454, 181.18077020291673), 71.41253341179917)",11336,./openEDS/S_1/118.png,0.99616013,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((320.89033167595227, 291.99496323056775), (188.31549963970454, 180.57459433418995), 68.47955394852609)",11857,./openEDS/S_1/111.png,0.99561884,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((323.9341585054409, 229.40201794484588), (188.31549963970454, 174.79712990237655), -41.25235804554175)",15312,./openEDS/S_1/76.png,0.99418132,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((319.55594007970535, 287.57829629422116), (188.31549963970454, 180.625439431715), 74.20045781859405)",11759,./openEDS/S_1/108.png,0.99436656,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((317.5793969859943, 236.1899392664224), (188.31549963970454, 174.88994542515897), -50.05392302573937)",15295,./openEDS/S_1/78.png,0.99283201,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((390.7906472240881, 288.8078374811208), (188.31549963970454, 185.06238047542604), -62.815259338233844)",11966,./openEDS/S_1/144.png,0.98667229,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((355.46534370549364, 259.4114366917863), (188.31549963970454, 187.1954557839273), -28.50799378903925)",14086,./openEDS/S_1/22.png,0.99456215,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((348.7442410851921, 299.5437094360206), (188.31549963970454, 185.34504411401036), 31.786081976643818)",11716,./openEDS/S_1/122.png,0.99336671,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((371.6574800125205, 230.6653948125916), (188.31549963970454, 180.9983775004921), 9.867925664356124)",15698,./openEDS/S_1/58.png,0.99199388,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((306.0889377428136, 255.75351887676206), (188.31549963970454, 174.65738944571584), -71.5822511601835)",11978,./openEDS/S_1/101.png,0.98882798,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((353.98229581755834, 303.0591912856732), (188.31549963970454, 185.1542550439807), 19.554825225601775)",11613,./openEDS/S_1/127.png,0.99189935,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((372.86632169083293, 294.0146194442785), (188.31549963970454, 186.74959352872511), -25.163711307738375)",12115,./openEDS/S_1/136.png,0.99010971,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((302.525763639001, 260.74081317496746), (188.31549963970454, 173.67100210339723), -76.91258760488056)",11803,./openEDS/S_1/93.png,0.987388,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((304.9113941078086, 255.2218555981468), (188.31549963970454, 174.0517123807302), -71.46041718188343)",11173,./openEDS/S_1/98.png,0.98905652,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((321.46893314443207, 292.07291189553945), (188.31549963970454, 180.7474126998659), 68.12307168624183)",11652,./openEDS/S_1/112.png,0.99657476,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((317.430015101325, 285.76574318212), (188.31549963970454, 180.0672599185878), 76.98956318925619)",11760,./openEDS/S_1/107.png,0.99465195,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((352.5158943991389, 222.59342904394558), (188.31549963970454, 177.83169151201847), -12.295559595480638)",16175,./openEDS/S_1/61.png,0.99332493,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((317.37200739081476, 237.3577147351833), (188.31549963970454, 175.15676458484754), -51.0378121289656)",15220,./openEDS/S_1/77.png,0.99423518,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((409.4229740456307, 257.23976787530773), (188.31549963970454, 179.6754663899596), 68.64900223040625)",14960,./openEDS/S_1/30.png,0.98196121,1
"(363.94218263267555, 275.0186387344994, 94.15774981985227)","((353.9164539338927, 218.06521159648352), (188.31549963970454, 176.07891206201379), -9.983708173184521)",16841,./openEDS/S_1/65.png,0.99316143,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((358.48858317734346, 198.89875906788672), (178.78749263613463, 142.52105876292637), -3.8264142028379906)",11274,./openEDS/S_10/70.png,0.99195758,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((358.1063341337255, 286.008493658195), (178.78749263613463, 178.481943219676), -47.03117786237618)",13198,./openEDS/S_10/140.png,0.98893988,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((337.4733490814724, 208.3047951654359), (178.78749263613463, 146.9539498245817), -18.001561483184766)",16537,./openEDS/S_10/77.png,0.98643739,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((322.27386385972744, 213.91113697761023), (178.78749263613463, 146.2694849661003), -28.47686899318411)",15996,./openEDS/S_10/81.png,0.97545881,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((394.57493219313886, 212.07840240004234), (178.78749263613463, 149.0737598143402), 20.437522429400097)",17421,./openEDS/S_10/56.png,0.98250525,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((322.5944193759603, 274.47630008979905), (178.78749263613463, 170.82262733821597), -67.21323865246208)",14538,./openEDS/S_10/125.png,0.98604331,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((411.4497482318798, 246.20143629492054), (178.78749263613463, 161.97565890785415), 45.46238927131347)",18134,./openEDS/S_10/41.png,0.96742254,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((410.75153285712133, 244.94437751123795), (178.78749263613463, 161.75981178470008), 44.25836120122951)",18099,./openEDS/S_10/43.png,0.968249,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((410.3078393859063, 245.77259052469932), (178.78749263613463, 162.24619783287773), 44.48759102738084)",17776,./openEDS/S_10/40.png,0.96886134,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((322.1678670501571, 213.89301319486518), (178.78749263613463, 146.21547278594932), -28.531224140852185)",16148,./openEDS/S_10/82.png,0.9762369,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((321.79950753699063, 274.6790616638825), (178.78749263613463, 170.58643299755363), -67.82482348658625)",14445,./openEDS/S_10/116.png,0.98625203,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((393.13881871030196, 275.93416660069596), (178.78749263613463, 174.74825780021817), 60.24524985930148)",16892,./openEDS/S_10/151.png,0.97592247,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((313.5512595458942, 256.5036805834659), (178.78749263613463, 163.63472168037055), -55.121607638646914)",16292,./openEDS/S_10/112.png,0.98570377,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((358.2083864368412, 241.4328584909875), (178.78749263613463, 168.7458801834399), -7.320573366619872)",15599,./openEDS/S_10/17.png,0.99079014,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((321.6735712655332, 274.0381518238947), (178.78749263613463, 170.4548099379231), -67.15522310712564)",12071,./openEDS/S_10/120.png,0.98976813,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((323.9246140967012, 274.34100210668964), (178.78749263613463, 171.2339142908022), -66.38983431388377)",14468,./openEDS/S_10/126.png,0.98753238,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((359.2995807094904, 240.24220660494944), (178.78749263613463, 168.313845271969), -5.966397061281777)",14175,./openEDS/S_10/7.png,0.99195072,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((397.5658145006354, 211.00923595702312), (178.78749263613463, 147.45545764826704), 22.027387503052786)",7426,./openEDS/S_10/53.png,0.96269681,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((309.53570452464817, 239.95327033519663), (178.78749263613463, 155.7794290108853), -46.58326476127932)",16379,./openEDS/S_10/98.png,0.97672727,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((358.2781483434743, 241.84252430075207), (178.78749263613463, 168.9129607753577), -7.301386254367762)",15767,./openEDS/S_10/16.png,0.99141698,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((368.32621299070803, 202.56855755504685), (178.78749263613463, 145.74546803936923), 2.2999862414854157)",17238,./openEDS/S_10/63.png,0.99201585,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((321.6216619186032, 273.5400985985946), (178.78749263613463, 170.3656619088462), -66.61981340997723)",14811,./openEDS/S_10/115.png,0.9848449,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((357.543995904737, 240.85334351093522), (178.78749263613463, 168.47602020472897), -7.967515838863692)",15380,./openEDS/S_10/11.png,0.99091553,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((306.71512960143576, 244.98281859895366), (178.78749263613463, 156.5509040250345), -50.87153588924892)",14884,./openEDS/S_10/107.png,0.97953734,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((331.12784051824457, 277.95145384843346), (178.78749263613463, 173.75259405168723), -67.0544953195448)",14421,./openEDS/S_10/127.png,0.98096095,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((370.6496551215173, 243.62037408226666), (178.78749263613463, 169.6310360941374), 6.9541454101146565)",17028,./openEDS/S_10/28.png,0.99380632,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((366.6283078044462, 281.23410299987427), (178.78749263613463, 178.3270019852144), 9.8564613615411)",13326,./openEDS/S_10/146.png,0.99130304,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((359.1613106927759, 200.21608793498237), (178.78749263613463, 143.69480741802627), -3.463638171169997)",16440,./openEDS/S_10/72.png,0.98932839,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((321.1865738742634, 212.74808291962637), (178.78749263613463, 145.00191422673566), -28.730642432121137)",13246,./openEDS/S_10/89.png,0.97912966,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((410.58879778929935, 243.8412277751181), (178.78749263613463, 161.3865210022589), 43.496082692431315)",18153,./openEDS/S_10/44.png,0.96821113,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((320.77712366845327, 213.56998122960294), (178.78749263613463, 145.43374579416817), -29.210426842670437)",15748,./openEDS/S_10/93.png,0.9789477,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((357.523868855744, 241.36718330205898), (178.78749263613463, 168.68240982822334), -8.069293721207972)",16355,./openEDS/S_10/22.png,0.98762077,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((359.2877290131846, 240.23963567053357), (178.78749263613463, 168.31227741246136), -5.979037019432867)",14397,./openEDS/S_10/8.png,0.99224539,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((391.0926365319931, 275.0202831262937), (178.78749263613463, 175.0591431607712), 56.94855798888667)",16124,./openEDS/S_10/150.png,0.98072872,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((360.10324726298865, 199.99784044180205), (178.78749263613463, 143.55281908636476), -2.8717589698914945)",16913,./openEDS/S_10/68.png,0.99117604,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((392.0198715249969, 243.49671105387935), (178.78749263613463, 166.7700172173359), 29.277777157600305)",17841,./openEDS/S_10/30.png,0.9815332,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((397.6126558771249, 212.7390338533862), (178.78749263613463, 148.69237535460223), 22.4886805890507)",18657,./openEDS/S_10/50.png,0.98309507,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((357.22291527733444, 285.70731084823507), (178.78749263613463, 178.4211080288864), -49.239464433370436)",13123,./openEDS/S_10/138.png,0.99000151,1
"(364.72723389123405, 292.1758502340882, 89.39374631806731)","((393.2233690425176, 273.21421971826595), (178.78749263613463, 174.36418780609029), 56.35978471327183)",16494,./openEDS/S_10/161.png,0.97654004,1
